path|file_name|extension|size_bytes|git_status|ignored_by|module|area|source_set|probable_owner|file_role|created_or_first_seen_commit|last_meaningful_commit|current_references|classification|recommended_disposition|confidence|risk_if_removed|evidence|superseded_by|notes
engine-app/src/main/java/com/crypto/funding/engine/EngineApplication.java|EngineApplication.java|.java|591|tracked||engine-app|engine|main||Engine class: EngineApplication|a0ca722|ad4bd22||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EngineApplication||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EngineController.java|EngineController.java|.java|2915|tracked||engine-app|engine|main||Engine class: EngineController|a0ca722|6bedabb||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EngineController||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EngineCredentialCache.java|EngineCredentialCache.java|.java|3102|tracked||engine-app|engine|main||Engine class: EngineCredentialCache|7c08bb3|aac34ce||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EngineCredentialCache||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EngineCredentialStatusController.java|EngineCredentialStatusController.java|.java|1442|tracked||engine-app|engine|main||Engine class: EngineCredentialStatusController|431c466|7c08bb3||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EngineCredentialStatusController||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EngineExecutionScheduler.java|EngineExecutionScheduler.java|.java|1181|tracked||engine-app|engine|main||Engine class: EngineExecutionScheduler|3396b11|347d8a3||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EngineExecutionScheduler||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EngineExecutionService.java|EngineExecutionService.java|.java|32367|tracked||engine-app|engine|main||Engine class: EngineExecutionService|3396b11|26146fa||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EngineExecutionService||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EngineMetricsPublishProperties.java|EngineMetricsPublishProperties.java|.java|638|tracked||engine-app|engine|main||Engine class: EngineMetricsPublishProperties|2483502|2483502||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EngineMetricsPublishProperties||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EngineMetricsPublisher.java|EngineMetricsPublisher.java|.java|5018|tracked||engine-app|engine|main||Engine class: EngineMetricsPublisher|2483502|347d8a3||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EngineMetricsPublisher||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EngineModuleConfiguration.java|EngineModuleConfiguration.java|.java|597|tracked||engine-app|engine|main||Engine class: EngineModuleConfiguration|a0ca722|610d109||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EngineModuleConfiguration||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EnginePlanClient.java|EnginePlanClient.java|.java|9895|tracked||engine-app|engine|main||Engine class: EnginePlanClient|610d109|a945f05||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EnginePlanClient||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EnginePlanService.java|EnginePlanService.java|.java|3115|tracked||engine-app|engine|main||Engine class: EnginePlanService|a0ca722|052a49d||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EnginePlanService||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EngineProperties.java|EngineProperties.java|.java|3942|tracked||engine-app|engine|main||Engine class: EngineProperties|a0ca722|a26f159||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EngineProperties||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EngineRuntimeControlService.java|EngineRuntimeControlService.java|.java|4823|tracked||engine-app|engine|main||Engine class: EngineRuntimeControlService|307e9fd|e817530||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EngineRuntimeControlService||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/EngineTelemetryService.java|EngineTelemetryService.java|.java|10108|tracked||engine-app|engine|main||Engine class: EngineTelemetryService|052a49d|0a0d1eb||ACTIVE_RUNTIME|KEEP|VERIFIED|HIGH|Engine class: EngineTelemetryService||Engine production class
engine-app/src/main/java/com/crypto/funding/engine/exchange/LiveExchangeExecutionPort.java|LiveExchangeExecutionPort.java|.java|47492|tracked||engine-app|engine/exchange|main||Java source in engine/exchange|a26f159|aac34ce||ACTIVE_RUNTIME|KEEP|MEDIUM|MEDIUM|Java source in engine/exchange||General Java source
engine-app/src/main/resources/application-local-safe.yml|application-local-safe.yml|.yml|160|tracked||engine-app|application-local-safe.yml|main||engine-app local-safe profile|fe2cf72|fe2cf72||ACTIVE_RUNTIME|KEEP_IMMUTABLE|VERIFIED|HIGH|engine-app local-safe profile||Development profile
engine-app/src/main/resources/application-prod-like.yml|application-prod-like.yml|.yml|158|tracked||engine-app|application-prod-like.yml|main||engine-app prod-like profile|fe2cf72|fe2cf72||ACTIVE_RUNTIME|KEEP_IMMUTABLE|VERIFIED|HIGH|engine-app prod-like profile||Production-like config
engine-app/src/main/resources/application-staging.yml|application-staging.yml|.yml|156|tracked||engine-app|application-staging.yml|main||engine-app staging profile|fe2cf72|fe2cf72||ACTIVE_RUNTIME|KEEP_IMMUTABLE|VERIFIED|HIGH|engine-app staging profile||Staging config
engine-app/src/main/resources/application-testnet.yml|application-testnet.yml|.yml|562|tracked||engine-app|application-testnet.yml|main||Engine testnet profile|893126a|7c08bb3||ACTIVE_RUNTIME|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine testnet profile||Testnet config
engine-app/src/main/resources/application.yml|application.yml|.yml|1971|tracked||engine-app|application.yml|main||engine-app base config|a0ca722|333ac27||ACTIVE_RUNTIME|KEEP_IMMUTABLE|VERIFIED|CRITICAL|engine-app base config||Spring Boot config
engine-app/src/main/resources/logback-spring.xml|logback-spring.xml|.xml|1344|tracked||engine-app|logback-spring.xml|main||engine-app logging config|b9391a5|b9391a5||ACTIVE_RUNTIME|KEEP|VERIFIED|MEDIUM|engine-app logging config||Logback config
engine-app/src/test/java/com/crypto/funding/engine/AutonomousLoopIntegrationTest.java|AutonomousLoopIntegrationTest.java|.java|14753|tracked||engine-app|engine|test||Engine TDD test|893126a|893126a||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/CredentialAwareExecutionPortTest.java|CredentialAwareExecutionPortTest.java|.java|30171|tracked||engine-app|engine|test||Engine TDD test|0a0d1eb|7c08bb3||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineApplicationIntegrationTest.java|EngineApplicationIntegrationTest.java|.java|8547|tracked||engine-app|engine|test||Engine TDD test|a0ca722|a26f159||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineApplicationTest.java|EngineApplicationTest.java|.java|670|tracked||engine-app|engine|test||Engine TDD test|0a0d1eb|0a0d1eb||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineControllerTest.java|EngineControllerTest.java|.java|6404|tracked||engine-app|engine|test||Engine TDD test|0a0d1eb|e817530||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineCredentialCacheTest.java|EngineCredentialCacheTest.java|.java|5123|tracked||engine-app|engine|test||Engine TDD test|7c08bb3|aac34ce||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineCredentialStatusControllerTest.java|EngineCredentialStatusControllerTest.java|.java|2063|tracked||engine-app|engine|test||Engine TDD test|392084e|7c08bb3||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineExecutionSchedulerTest.java|EngineExecutionSchedulerTest.java|.java|2009|tracked||engine-app|engine|test||Engine TDD test|0a0d1eb|347d8a3||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineExecutionServiceTest.java|EngineExecutionServiceTest.java|.java|57628|tracked||engine-app|engine|test||Engine TDD test|0a0d1eb|c38556d||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineExecutionServiceWarmupTest.java|EngineExecutionServiceWarmupTest.java|.java|33701|tracked||engine-app|engine|test||Engine TDD test|df2a9ab|7cc4699||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineMetricsPublishPropertiesTest.java|EngineMetricsPublishPropertiesTest.java|.java|880|tracked||engine-app|engine|test||Engine TDD test|0a0d1eb|0a0d1eb||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineMetricsPublisherDisabledIntegrationTest.java|EngineMetricsPublisherDisabledIntegrationTest.java|.java|836|tracked||engine-app|engine|test||Engine TDD test|2483502|0a0d1eb||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineMetricsPublisherIntegrationTest.java|EngineMetricsPublisherIntegrationTest.java|.java|4803|tracked||engine-app|engine|test||Engine TDD test|2483502|0a0d1eb||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineMetricsPublisherTest.java|EngineMetricsPublisherTest.java|.java|7296|tracked||engine-app|engine|test||Engine TDD test|0a0d1eb|347d8a3||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EngineModuleConfigurationTest.java|EngineModuleConfigurationTest.java|.java|1486|tracked||engine-app|engine|test||Engine TDD test|0a0d1eb|0a0d1eb||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EnginePlanClientTest.java|EnginePlanClientTest.java|.java|18416|tracked||engine-app|engine|test||Engine TDD test|0a0d1eb|7c08bb3||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
engine-app/src/test/java/com/crypto/funding/engine/EnginePlanServiceTest.java|EnginePlanServiceTest.java|.java|5436|tracked||engine-app|engine|test||Engine TDD test|0a0d1eb|ff64267||ACTIVE_TEST|KEEP_IMMUTABLE|VERIFIED|HIGH|Engine TDD test||Pitest/JaCoCo gated test
